Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 136.733 NA 146 62 0 NA NA NA NA NA NA 272 126 0 NA NA NA NA NA NA 905 234 231 NA NA NA NA NA NA 828 337 323 NA NA NA NA NA
1579388400.0 136.735 NA 87 251 0 NA NA NA NA NA NA 162 566 0 NA NA NA NA NA NA 570 2281 461 NA NA NA NA NA NA 388 2123 549 NA NA NA NA NA
1579388400.0 136.739 NA 88 337 0 NA NA NA NA NA NA 153 711 0 NA NA NA NA NA NA 516 13210 537 NA NA NA NA NA NA 392 4543 596 NA NA NA NA NA
1579388400.0 136.75 NA 84 349 0 NA NA NA NA NA NA 157 714 0 NA NA NA NA NA NA 521 13376 544 NA NA NA NA NA NA 331 4711 606 NA NA NA NA NA
1579388400.0 136.751 NA 82 352 0 NA NA NA NA NA NA 157 765 0 NA NA NA NA NA NA 517 13584 544 NA NA NA NA NA NA 393 4645 644 NA NA NA NA NA
1579388400.0 136.755 NA 87 345 0 NA NA NA NA NA NA 157 745 0 NA NA NA NA NA NA 498 12730 533 NA NA NA NA NA NA 310 4426 592 NA NA NA NA NA
1579388400.0 136.758 NA 84 348 0 NA NA NA NA NA NA 161 698 0 NA NA NA NA NA NA 508 12844 645 NA NA NA NA NA NA 349 4536 694 NA NA NA NA NA
1579388400.0 136.759 NA 81 342 0 NA NA NA NA NA NA 149 783 0 NA NA NA NA NA NA 518 14653 539 NA NA NA NA NA NA 393 4920 578 NA NA NA NA NA
1579388400.0 136.76 NA 90 364 0 NA NA NA NA NA NA 155 714 0 NA NA NA NA NA NA 587 15801 655 NA NA NA NA NA NA 456 5293 706 NA NA NA NA NA
1579388400.0 136.761 NA 90 351 0 NA NA NA NA NA NA 157 736 0 NA NA NA NA NA NA 530 17387 554 NA NA NA NA NA NA 355 5560 617 NA NA NA NA NA
1579388400.0 136.7611 NA 171 0 NA NA NA NA NA NA NA 295 0 NA NA NA NA NA NA NA 4601 131 NA NA NA NA NA NA NA 3914 224 NA NA NA NA NA NA
1579388400.0 136.765 NA 84 351 0 NA NA NA NA NA NA 151 658 0 NA NA NA NA NA NA 509 12941 542 NA NA NA NA NA NA 311 4419 613 NA NA NA NA NA
1579388400.0 136.7721 NA 166 0 NA NA NA NA NA NA NA 288 0 NA NA NA NA NA NA NA 4369 129 NA NA NA NA NA NA NA 3929 198 NA NA NA NA NA NA
1579388400.0 136.7722 NA 151 0 NA NA NA NA NA NA NA 268 0 NA NA NA NA NA NA NA 4826 117 NA NA NA NA NA NA NA 3865 208 NA NA NA NA NA NA
1579388400.0 136.7801 NA 93 0 NA NA NA NA NA NA NA 169 0 NA NA NA NA NA NA NA 358 221 NA NA NA NA NA NA NA 503 264 NA NA NA NA NA NA
1579388400.0 136.7802 NA 64 0 NA NA NA NA NA NA NA 125 0 NA NA NA NA NA NA NA 236 138 NA NA NA NA NA NA NA 608 182 NA NA NA NA NA NA
1579388400.0 136.7803 NA 96 0 NA NA NA NA NA NA NA 185 0 NA NA NA NA NA NA NA 526 189 NA NA NA NA NA NA NA 936 235 NA NA NA NA NA NA
1579388400.0 136.784 NA 110 396 0 NA NA NA NA NA NA 184 793 0 NA NA NA NA NA NA 434 15597 616 NA NA NA NA NA NA 299 5248 666 NA NA NA NA NA
